instance_id,group,group_label,axis,axis_value,cell_size_m,nx,ny,nz,n_voxels,n_passable,n_zones,n_sublevels,n_families,reference_type,reference_cost,reference_cost_buildable,best_topology,lower_bound,lower_bound_method,gap_to_lower_bound,grid_sha256,seed
xgrid-f0-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","none, competent",5.0,126,82,100,1033200,914913,4,4,7,best_known,1275081.4297,3720282.8641,chained_fan,1036869.5044588987,pairwise_divergence,0.229741,sha256:55468d251e37ca8612e0f6d4cb8760270ebfe116af927515651db26f6e33c42d,42000
xgrid-f0-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","none, mixed",5.0,126,82,100,1033200,914913,4,4,7,best_known,1565079.5469,5874367.0151,chained_fan,1279344.7694594217,pairwise_divergence,0.223345,sha256:46b73093137012f4304d03723f2bc4911d6037756e9636e5118e0d184fc029f7,42100
xgrid-f0-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","none, poor",5.0,126,82,100,1033200,914913,4,4,7,best_known,2866032.4688,8652956.8258,chained_fan,2272975.047509307,pairwise_divergence,0.260917,sha256:a5a6823d4af0e6b459cde701710a6c3adaa75e1c4a0da62576e57ac97b3ae3f4,42200
xgrid-f1-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","1 fault, competent",5.0,126,82,100,1033200,914913,4,4,7,best_known,1234778.2783,4096983.726,chained_fan,1037135.9286171189,pairwise_divergence,0.190566,sha256:4cb6c4e25f1cbd9a4f3864c792eab5f2c8f35f931ef99bae91f82c6f628e4fe5,42001
xgrid-f1-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","1 fault, mixed",5.0,126,82,100,1033200,914913,4,4,7,best_known,1455235.9609,5649411.376,chained_fan,1216273.9464287679,pairwise_divergence,0.196471,sha256:90c1333d13e042f393aaf0682aae48fb4a42c449515782b03eb7c6943f05bcc5,42101
xgrid-f1-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","1 fault, poor",5.0,126,82,100,1033200,914913,4,4,7,best_known,2609782.6562,9187322.9413,chained_fan,1996360.6778655585,pairwise_divergence,0.30727,sha256:12b11e472fbeb759883cb5f81db2739f2c3551ad36150b0e3570b15003039599,42201
xgrid-f2x-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","2 crossing, competent",5.0,126,82,100,1033200,914913,4,4,7,best_known,1237434.9551,4607334.5211,chained_fan,1054885.836370979,pairwise_divergence,0.173051,sha256:93c4aaca90d352665d0810910366415dc6294b01b7dc5c48fbf9abf391e86acc,42002
xgrid-f2x-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","2 crossing, mixed",5.0,126,82,100,1033200,914913,4,4,7,best_known,1627779.4844,5014246.4791,chained_fan,1335288.8800469935,pairwise_divergence,0.219047,sha256:6a83616b589cf818250c2d76447c43a558873cd50bb53cf9ba65422cc4b1a06e,42102
xgrid-f2x-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","2 crossing, poor",5.0,126,82,100,1033200,914913,4,4,7,best_known,2819663.9297,9483852.3696,chained_fan,2307299.0084078973,pairwise_divergence,0.222063,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
xgrid-fcj-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","conjugate, competent",5.0,126,82,100,1033200,914913,4,4,7,best_known,1302700.0859,4741318.4554,chained_fan,1091359.5417733109,pairwise_divergence,0.193649,sha256:30c50a203d3c0edc0ca63c7f7126eb70b8d127fcb67de232b741ecc44fa382c4,42003
